feature#	feature	Visual	Perceptual	Functional	Motoric
1	$	0	0	0	0
2	1	0	0	0	0
3	2	0	0	0	0
4	3	0	0	0	0
5	3-wheels	1	0	0	0
6	3d	1	0	0	0
7	4	0	0	0	0
8	4-legs	1	0	0	0
9	5	0	0	0	0
10	accept	0	0	0	0
11	accessory	0	0	1	0
12	acknowledge	0	0	1	0
13	action	1	0	0	1
14	adult	0	0	0	0
15	advice	0	0	1	0
16	Africa	0	0	0	0
17	after	0	0	0	0
18	aggressive	0	0	0	0
19	agree	0	0	0	0
20	aimless	0	0	0	1
21	air	0	0	0	0
22	airplane	0	0	0	0
23	allergy	0	0	0	0
24	allow	0	0	0	0
25	anger	0	0	0	0
26	animal	0	0	0	0
27	annoy	0	0	0	0
28	apart	0	0	1	0
29	appear	1	0	0	1
30	appendage	1	0	0	0
31	approach	0	0	1	1
32	arm	1	0	0	1
33	army	0	0	0	0
34	around	1	0	0	1
35	arrive	0	0	0	1
36	art	0	0	0	0
37	ask	0	0	0	0
38	attach	1	0	1	0
39	attack	0	0	1	1
40	attempt	0	0	1	0
41	attention	1	1	1	0
42	audible	0	1	0	0
43	authority	0	0	0	0
44	automobile	0	0	0	0
45	autumn	0	0	0	0
46	aware	0	1	0	0
47	away	0	0	0	0
48	awkward	0	0	0	1
49	axe	0	0	0	0
50	baby	0	0	0	0
51	back	1	0	0	1
52	back-and-forth	0	0	0	1
53	bad	0	0	0	0
54	bake	0	0	0	1
55	balance	0	0	1	1
56	ball	1	0	0	0
57	bang	0	1	0	1
58	bank	0	0	0	0
59	bark	0	1	0	1
60	barrier	0	0	1	0
61	baseball	0	0	0	0
62	beak	1	0	0	0
63	beat	0	1	0	1
64	beautiful	0	0	0	0
65	beauty	0	0	0	0
66	beg	0	0	0	0
67	behind	0	0	0	0
68	bell	1	0	0	0
69	bend	1	0	1	1
70	better	0	0	1	0
71	between	0	0	0	0
72	bicycle	0	0	0	0
73	big	1	1	0	0
74	bike	0	0	0	0
75	bird	0	0	0	0
76	bit	1	0	0	0
77	bite	0	0	1	1
78	bitter	0	1	0	0
79	black	1	0	0	0
80	blade	1	0	0	0
81	blind	1	0	0	1
82	blink	1	0	0	1
