filename,dyadNumber,condition,game,trial,target,choice,correct,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,1,Director,1,"T1",39391,48459,9068,Acoustic,39404,41026,1622,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,1,Director,1,"T1",39391,48459,9068,Visual,39404,41026,1622,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,1,Director,1,"T1",39391,48459,9068,Visual,45026,48418,3392,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,1,Director,1,"T1",39391,48459,9068,Acoustic,47418,48445,1027,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,2,Matcher,1,"T2",57405,58810,1405,Visual,57405,58810,1405,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,1,Director,2,"T3",58215,63229,5014,Visual,58215,63229,5014,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,1,Director,2,"T3",58215,63229,5014,Acoustic,61824,63256,1432,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,2,Matcher,2,"T4",66404,75053,8649,Visual,66418,69418,3000,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,2,Matcher,2,"T4",66404,75053,8649,Visual,71620,75039,3419,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,1,Director,3,"T5",75066,79026,3960,Visual,75066,79026,3960,"X"
D18_TT_Coded.eaf,D18,Auditory,0,0,7,7,Correct,1,Director,3,"T5",75066,79026,3960,Acoustic,76837,79040,2203,"X"
D18_TT_Coded.eaf,D18,Auditory,0,1,1,1,Correct,2,Director,1,"T1",88229,92418,4189,Visual,88229,92418,4189,"X"
D18_TT_Coded.eaf,D18,Auditory,0,1,1,1,Correct,2,Director,1,"T1",88229,92418,4189,Acoustic,89040,92432,3392,"X"
D18_TT_Coded.eaf,D18,Auditory,0,2,3,3,Correct,1,Director,1,"T1",107607,108824,1217,Acoustic,107607,108824,1217,"X"
D18_TT_Coded.eaf,D18,Auditory,0,2,3,3,Correct,1,Director,1,"T1",107607,108824,1217,Visual,107607,108824,1217,"X"
D18_TT_Coded.eaf,D18,Auditory,0,2,3,3,Correct,2,Matcher,1,"T2",112012,112620,608,Acoustic,112012,112620,608,"X"
D18_TT_Coded.eaf,D18,Auditory,0,2,3,3,Correct,2,Matcher,1,"T2",112012,112620,608,Visual,112012,112620,608,"X"
D18_TT_Coded.eaf,D18,Auditory,0,2,3,3,Correct,1,Director,2,"T3",121404,126418,5014,Visual,121418,123620,2202,"X"
D18_TT_Coded.eaf,D18,Auditory,0,2,3,3,Correct,1,Director,2,"T3",121404,126418,5014,Acoustic,121607,123418,1811,"X"
D18_TT_Coded.eaf,D18,Auditory,0,2,3,3,Correct,1,Director,2,"T3",121404,126418,5014,Visual,125040,126404,1364,"X"
D18_TT_Coded.eaf,D18,Auditory,0,3,8,8,Correct,2,Director,1,"T1",131228,133620,2392,Visual,131228,133620,2392,"X"
D18_TT_Coded.eaf,D18,Auditory,0,3,8,8,Correct,2,Director,1,"T1",131228,133620,2392,Acoustic,131431,133512,2081,"X"
D18_TT_Coded.eaf,D18,Auditory,0,3,8,8,Correct,1,Matcher,1,"T1",136621,137621,1000,Visual,136621,137621,1000,"X"
D18_TT_Coded.eaf,D18,Auditory,0,3,8,8,Correct,1,Matcher,1,"T1",136621,137621,1000,Acoustic,137039,137418,379,"X"
D18_TT_Coded.eaf,D18,Auditory,0,5,4,4,Correct,2,Director,1,"T1",147823,149040,1217,Acoustic,147823,149040,1217,"X"
D18_TT_Coded.eaf,D18,Auditory,0,5,4,4,Correct,2,Director,1,"T1",147823,149040,1217,Visual,147823,149040,1217,"X"
D18_TT_Coded.eaf,D18,Auditory,0,5,4,4,Correct,2,Director,1,"T1",147823,149040,1217,Acoustic,149040,149053,13,"X"
D18_TT_Coded.eaf,D18,Auditory,0,6,6,6,Correct,1,Director,1,"T1",155202,157216,2014,Visual,155202,157216,2014,"X"
D18_TT_Coded.eaf,D18,Auditory,0,6,6,6,Correct,1,Director,1,"T1",155202,157216,2014,Acoustic,155445,157229,1784,"X"
D18_TT_Coded.eaf,D18,Auditory,0,7,2,2,Correct,2,Director,1,"T1",169837,174026,4189,Visual,169837,174026,4189,"X"
D18_TT_Coded.eaf,D18,Auditory,0,7,2,2,Correct,2,Director,1,"T1",169837,174026,4189,Acoustic,171404,173715,2311,"X"
D18_TT_Coded.eaf,D18,Auditory,0,8,1,1,Correct,1,Director,1,"T1",177418,178824,1406,Acoustic,177418,178824,1406,"X"
D18_TT_Coded.eaf,D18,Auditory,0,8,1,1,Correct,1,Director,1,"T1",177418,178824,1406,Visual,177418,178824,1406,"X"
D18_TT_Coded.eaf,D18,Auditory,0,9,5,5,Correct,2,Director,1,"T1",186621,187621,1000,Visual,186621,187621,1000,"X"
D18_TT_Coded.eaf,D18,Auditory,0,9,5,5,Correct,2,Director,1,"T1",186621,187621,1000,Acoustic,187229,187634,405,"X"
D18_TT_Coded.eaf,D18,Auditory,0,11,3,3,Correct,1,Matcher,1,"T1",191175,204242,13067,Visual,191189,192824,1635,"X"
D18_TT_Coded.eaf,D18,Auditory,0,10,2,2,Correct,1,Director,1,"T1",191175,204242,13067,Visual,191189,192824,1635,"X"
D18_TT_Coded.eaf,D18,Auditory,0,11,3,3,Correct,1,Matcher,1,"T1",191175,204242,13067,Acoustic,191621,192621,1000,"X"
D18_TT_Coded.eaf,D18,Auditory,0,10,2,2,Correct,1,Director,1,"T1",191175,204242,13067,Acoustic,191621,192621,1000,"X"
D18_TT_Coded.eaf,D18,Auditory,0,11,3,3,Correct,1,Matcher,1,"T1",191175,204242,13067,Visual,203229,204229,1000,"X"
D18_TT_Coded.eaf,D18,Auditory,0,10,2,2,Correct,1,Director,1,"T1",191175,204242,13067,Visual,203229,204229,1000,"X"
D18_TT_Coded.eaf,D18,Auditory,0,11,3,3,Correct,2,Director,1,"T1",207796,211242,3446,Acoustic,207796,211242,3446,"X"
D18_TT_Coded.eaf,D18,Auditory,0,11,3,3,Correct,2,Director,1,"T1",207796,211242,3446,Visual,207796,210621,2825,"X"
D18_TT_Coded.eaf,D18,Auditory,0,12,8,8,Correct,1,Director,1,"T1",212405,214621,2216,Acoustic,212405,214621,2216,"X"
D18_TT_Coded.eaf,D18,Auditory,0,12,8,8,Correct,1,Director,1,"T1",212405,214621,2216,Visual,212405,214621,2216,"X"
D18_TT_Coded.eaf,D18,Auditory,0,13,6,6,Correct,2,Director,1,"T1",219608,222013,2405,Visual,219608,222013,2405,"X"
D18_TT_Coded.eaf,D18,Auditory,0,13,6,6,Correct,2,Director,1,"T1",219608,222013,2405,Acoustic,219620,221620,2000,"X"
D18_TT_Coded.eaf,D18,Auditory,0,14,4,4,Correct,1,Director,1,"T1",224431,225823,1392,Acoustic,224431,225823,1392,"X"
D18_TT_Coded.eaf,D18,Auditory,0,14,4,4,Correct,1,Director,1,"T1",224431,225823,1392,Visual,224431,225823,1392,"X"
D18_TT_Coded.eaf,D18,Auditory,0,15,7,7,Correct,2,Director,1,"T1",234216,237837,3621,Acoustic,234216,237837,3621,"X"
D18_TT_Coded.eaf,D18,Auditory,0,15,7,7,Correct,2,Director,1,"T1",234216,237837,3621,Visual,234216,237837,3621,"X"
D18_TT_Coded.eaf,D18,Auditory,0,15,7,7,Correct,1,Matcher,1,"T1",247026,249026,2000,Visual,247026,249026,2000,"X"
D18_TT_Coded.eaf,D18,Auditory,1,0,8,8,Correct,1,Director,1,"T1",247026,249026,2000,Visual,247026,249026,2000,"X"
D18_TT_Coded.eaf,D18,Auditory,0,15,7,7,Correct,1,Matcher,1,"T1",247026,249026,2000,Acoustic,247418,248824,1406,"X"
D18_TT_Coded.eaf,D18,Auditory,1,0,8,8,Correct,1,Director,1,"T1",247026,249026,2000,Acoustic,247418,248824,1406,"X"
D18_TT_Coded.eaf,D18,Auditory,1,1,6,6,Correct,2,Director,1,"T1",256418,258621,2203,Acoustic,256418,258621,2203,"X"
D18_TT_Coded.eaf,D18,Auditory,1,1,6,6,Correct,2,Director,1,"T1",256418,258621,2203,Visual,256418,258621,2203,"X"
D18_TT_Coded.eaf,D18,Auditory,1,2,5,5,Correct,1,Director,1,"T1",262431,263418,987,Visual,262431,263418,987,"X"
D18_TT_Coded.eaf,D18,Auditory,1,2,5,5,Correct,1,Director,1,"T1",262431,263418,987,Acoustic,263026,263431,405,"X"
D18_TT_Coded.eaf,D18,Auditory,1,3,4,4,Correct,2,Director,1,"T1",269824,271216,1392,Visual,269824,271216,1392,"X"
D18_TT_Coded.eaf,D18,Auditory,1,3,4,4,Correct,2,Director,1,"T1",269824,271216,1392,Acoustic,270431,271053,622,"X"
D18_TT_Coded.eaf,D18,Auditory,1,4,2,2,Correct,1,Director,1,"T1",274824,276026,1202,Visual,274824,276026,1202,"X"
D18_TT_Coded.eaf,D18,Auditory,1,4,2,2,Correct,1,Director,1,"T1",274824,276026,1202,Acoustic,275012,276039,1027,"X"
D18_TT_Coded.eaf,D18,Auditory,1,5,3,3,Correct,2,Director,1,"T1",283215,285620,2405,Visual,283201,285228,2027,"X"
D18_TT_Coded.eaf,D18,Auditory,1,5,3,3,Correct,2,Director,1,"T1",283215,285620,2405,Acoustic,283215,285620,2405,"X"
D18_TT_Coded.eaf,D18,Auditory,1,6,6,6,Correct,1,Director,1,"T1",287608,289608,2000,Visual,287608,289608,2000,"X"
D18_TT_Coded.eaf,D18,Auditory,1,6,6,6,Correct,1,Director,1,"T1",287608,289608,2000,Acoustic,287824,289608,1784,"X"
D18_TT_Coded.eaf,D18,Auditory,1,7,2,1,Incorrect,2,Director,1,"T1",294228,296026,1798,Visual,294228,296026,1798,"X"
D18_TT_Coded.eaf,D18,Auditory,1,7,2,1,Incorrect,2,Director,1,"T1",294228,296026,1798,Acoustic,295026,296039,1013,"X"
D18_TT_Coded.eaf,D18,Auditory,1,8,4,4,Correct,1,Director,1,"T1",300824,301418,594,Visual,300824,301418,594,"X"
D18_TT_Coded.eaf,D18,Auditory,1,8,4,4,Correct,1,Director,1,"T1",300824,301418,594,Acoustic,301026,301256,230,"X"
D18_TT_Coded.eaf,D18,Auditory,1,9,7,7,Correct,2,Director,1,"T1",307823,311850,4027,Acoustic,307824,311026,3202,"X"
D18_TT_Coded.eaf,D18,Auditory,1,9,7,7,Correct,2,Director,1,"T1",307823,311850,4027,Visual,307824,311026,3202,"X"
D18_TT_Coded.eaf,D18,Auditory,1,9,7,7,Correct,2,Director,1,"T1",307823,311850,4027,Acoustic,311404,311836,432,"X"
D18_TT_Coded.eaf,D18,Auditory,1,10,3,3,Correct,1,Director,1,"T1",315431,317215,1784,Visual,315431,317215,1784,"X"
D18_TT_Coded.eaf,D18,Auditory,1,10,3,3,Correct,1,Director,1,"T1",315431,317215,1784,Acoustic,315810,317229,1419,"X"
D18_TT_Coded.eaf,D18,Auditory,1,11,8,8,Correct,2,Director,1,"T1",322026,324621,2595,Visual,322026,324621,2595,"X"
D18_TT_Coded.eaf,D18,Auditory,1,11,8,8,Correct,2,Director,1,"T1",322026,324621,2595,Acoustic,322296,324634,2338,"X"
D18_TT_Coded.eaf,D18,Auditory,1,12,1,1,Correct,1,Director,1,"T1",327797,329797,2000,Visual,327797,329797,2000,"X"
D18_TT_Coded.eaf,D18,Auditory,1,12,1,1,Correct,1,Director,1,"T1",327797,329797,2000,Acoustic,328040,329621,1581,"X"
D18_TT_Coded.eaf,D18,Auditory,1,13,5,5,Correct,2,Director,1,"T1",336418,337621,1203,Visual,336418,337621,1203,"X"
D18_TT_Coded.eaf,D18,Auditory,1,13,5,5,Correct,2,Director,1,"T1",336418,337621,1203,Acoustic,337013,337634,621,"X"
D18_TT_Coded.eaf,D18,Auditory,1,14,7,7,Correct,1,Director,1,"T1",341418,343620,2202,Acoustic,341418,343229,1811,"X"
D18_TT_Coded.eaf,D18,Auditory,1,14,7,7,Correct,1,Director,1,"T1",341418,343620,2202,Visual,341418,343620,2202,"X"
D18_TT_Coded.eaf,D18,Auditory,1,15,1,1,Correct,2,Director,1,"T1",349418,351823,2405,Acoustic,349418,351823,2405,"X"
D18_TT_Coded.eaf,D18,Auditory,1,15,1,1,Correct,2,Director,1,"T1",349418,351823,2405,Visual,349418,351823,2405,"X"
D18_TT_Coded.eaf,D18,Auditory,2,0,3,3,Correct,1,Director,1,"T1",363242,365026,1784,Acoustic,363242,365026,1784,"X"
D18_TT_Coded.eaf,D18,Auditory,2,0,3,3,Correct,1,Director,1,"T1",363242,365026,1784,Visual,363242,365026,1784,"X"
D18_TT_Coded.eaf,D18,Auditory,2,1,8,8,Correct,2,Director,1,"T1",367391,369621,2230,Visual,367391,369621,2230,"X"
D18_TT_Coded.eaf,D18,Auditory,2,0,3,3,Correct,2,Matcher,1,"T1",367391,369621,2230,Visual,367391,369621,2230,"X"
D18_TT_Coded.eaf,D18,Auditory,2,1,8,8,Correct,2,Director,1,"T1",367391,369621,2230,Acoustic,367607,369634,2027,"X"
D18_TT_Coded.eaf,D18,Auditory,2,0,3,3,Correct,2,Matcher,1,"T1",367391,369621,2230,Acoustic,367607,369634,2027,"X"
D18_TT_Coded.eaf,D18,Auditory,2,2,4,4,Correct,1,Director,1,"T1",372040,372824,784,Visual,372040,372824,784,"X"
D18_TT_Coded.eaf,D18,Auditory,2,2,4,4,Correct,1,Director,1,"T1",372040,372824,784,Acoustic,372229,372621,392,"X"
D18_TT_Coded.eaf,D18,Auditory,2,3,7,7,Correct,2,Director,1,"T1",378823,381026,2203,Acoustic,378823,381026,2203,"X"
D18_TT_Coded.eaf,D18,Auditory,2,3,7,7,Correct,2,Director,1,"T1",378823,381026,2203,Visual,378823,381026,2203,"X"
D18_TT_Coded.eaf,D18,Auditory,2,4,6,6,Correct,1,Director,1,"T1",383621,385580,1959,Acoustic,383621,385580,1959,"X"
D18_TT_Coded.eaf,D18,Auditory,2,4,6,6,Correct,1,Director,1,"T1",383621,385580,1959,Visual,383621,385580,1959,"X"
D18_TT_Coded.eaf,D18,Auditory,2,5,2,2,Correct,2,Director,1,"T1",389432,391418,1986,Acoustic,389432,391418,1986,"X"
D18_TT_Coded.eaf,D18,Auditory,2,5,2,2,Correct,2,Director,1,"T1",389432,391418,1986,Visual,389432,391418,1986,"X"
D18_TT_Coded.eaf,D18,Auditory,2,6,8,8,Correct,1,Director,1,"T1",393810,395405,1595,Visual,393810,395405,1595,"X"
D18_TT_Coded.eaf,D18,Auditory,2,6,8,8,Correct,1,Director,1,"T1",393810,395405,1595,Acoustic,394013,395418,1405,"X"
D18_TT_Coded.eaf,D18,Auditory,2,7,3,3,Correct,2,Director,1,"T1",398824,401824,3000,Visual,398824,401824,3000,"X"
D18_TT_Coded.eaf,D18,Auditory,2,7,3,3,Correct,2,Director,1,"T1",398824,401824,3000,Acoustic,399026,401810,2784,"X"
D18_TT_Coded.eaf,D18,Auditory,2,8,2,2,Correct,1,Director,1,"T1",403634,405418,1784,Visual,403634,405418,1784,"X"
D18_TT_Coded.eaf,D18,Auditory,2,8,2,2,Correct,1,Director,1,"T1",403634,405418,1784,Acoustic,404027,405027,1000,"X"
D18_TT_Coded.eaf,D18,Auditory,2,9,6,6,Correct,2,Director,1,"T1",411620,413823,2203,Visual,411620,413823,2203,"X"
D18_TT_Coded.eaf,D18,Auditory,2,9,6,6,Correct,2,Director,1,"T1",411620,413823,2203,Acoustic,412013,413837,1824,"X"
D18_TT_Coded.eaf,D18,Auditory,2,10,5,5,Correct,1,Director,1,"T1",416202,417202,1000,Visual,416202,417202,1000,"X"
D18_TT_Coded.eaf,D18,Auditory,2,10,5,5,Correct,1,Director,1,"T1",416202,417202,1000,Acoustic,416634,416837,203,"X"
D18_TT_Coded.eaf,D18,Auditory,2,11,4,4,Correct,2,Director,1,"T1",422202,423823,1621,Acoustic,422175,423621,1446,"X"
D18_TT_Coded.eaf,D18,Auditory,2,11,4,4,Correct,2,Director,1,"T1",422202,423823,1621,Visual,422202,423823,1621,"X"
D18_TT_Coded.eaf,D18,Auditory,2,12,1,1,Correct,1,Director,1,"T1",427823,429607,1784,Visual,427823,429607,1784,"X"
D18_TT_Coded.eaf,D18,Auditory,2,12,1,1,Correct,1,Director,1,"T1",427823,429607,1784,Acoustic,428229,429621,1392,"X"
D18_TT_Coded.eaf,D18,Auditory,2,13,5,5,Correct,2,Director,1,"T1",432202,433418,1216,Visual,432202,433418,1216,"X"
D18_TT_Coded.eaf,D18,Auditory,2,13,5,5,Correct,2,Director,1,"T1",432202,433418,1216,Acoustic,432918,433228,310,"X"
D18_TT_Coded.eaf,D18,Auditory,2,14,7,7,Correct,1,Director,1,"T1",437405,439608,2203,Acoustic,437405,439608,2203,"X"
D18_TT_Coded.eaf,D18,Auditory,2,14,7,7,Correct,1,Director,1,"T1",437405,439608,2203,Visual,437405,439608,2203,"X"
D18_TT_Coded.eaf,D18,Auditory,2,15,1,1,Correct,2,Director,1,"T1",444000,446202,2202,Acoustic,444000,446202,2202,"X"
D18_TT_Coded.eaf,D18,Auditory,2,15,1,1,Correct,2,Director,1,"T1",444000,446202,2202,Visual,444000,446202,2202,"X"
D18_TT_Coded.eaf,D18,Auditory,3,0,2,2,Correct,1,Director,1,"T1",453229,454621,1392,Visual,453229,454621,1392,"X"
D18_TT_Coded.eaf,D18,Auditory,3,0,2,2,Correct,1,Director,1,"T1",453229,454621,1392,Acoustic,453620,454634,1014,"X"
D18_TT_Coded.eaf,D18,Auditory,3,1,3,3,Correct,2,Director,1,"T1",459039,462229,3190,Acoustic,459039,462229,3190,"X"
D18_TT_Coded.eaf,D18,Auditory,3,1,3,3,Correct,2,Director,1,"T1",459039,462229,3190,Visual,459039,462229,3190,"X"
D18_TT_Coded.eaf,D18,Auditory,3,0,2,2,Correct,2,Matcher,1,"T1",459039,462229,3190,Acoustic,459039,462229,3190,"X"
D18_TT_Coded.eaf,D18,Auditory,3,0,2,2,Correct,2,Matcher,1,"T1",459039,462229,3190,Visual,459039,462229,3190,"X"
D18_TT_Coded.eaf,D18,Auditory,3,2,7,7,Correct,1,Director,1,"T1",464418,467418,3000,Visual,464418,467418,3000,"X"
D18_TT_Coded.eaf,D18,Auditory,3,2,7,7,Correct,1,Director,1,"T1",464418,467418,3000,Acoustic,464620,467228,2608,"X"
D18_TT_Coded.eaf,D18,Auditory,3,3,1,1,Correct,2,Director,1,"T1",473620,475620,2000,Acoustic,473620,475620,2000,"X"
D18_TT_Coded.eaf,D18,Auditory,3,3,1,1,Correct,2,Director,1,"T1",473620,475620,2000,Visual,473620,475620,2000,"X"
D18_TT_Coded.eaf,D18,Auditory,3,4,5,5,Correct,1,Director,1,"T1",477228,478215,987,Visual,477228,478215,987,"X"
D18_TT_Coded.eaf,D18,Auditory,3,4,5,5,Correct,1,Director,1,"T1",477228,478215,987,Acoustic,477418,478026,608,"X"
D18_TT_Coded.eaf,D18,Auditory,3,5,4,4,Correct,2,Director,1,"T1",483027,484216,1189,Visual,483027,484216,1189,"X"
D18_TT_Coded.eaf,D18,Auditory,3,5,4,4,Correct,2,Director,1,"T1",483027,484216,1189,Acoustic,483607,484026,419,"X"
D18_TT_Coded.eaf,D18,Auditory,3,6,3,3,Correct,1,Director,1,"T1",486418,488634,2216,Visual,486418,488634,2216,"X"
D18_TT_Coded.eaf,D18,Auditory,3,7,8,8,Correct,2,Director,1,"T1",493215,495215,2000,Visual,493215,495215,2000,"X"
D18_TT_Coded.eaf,D18,Auditory,3,7,8,8,Correct,2,Director,1,"T1",493215,495215,2000,Acoustic,493607,495229,1622,"X"
D18_TT_Coded.eaf,D18,Auditory,3,8,6,6,Correct,1,Director,1,"T1",498026,499620,1594,Acoustic,498026,499620,1594,"X"
D18_TT_Coded.eaf,D18,Auditory,3,8,6,6,Correct,1,Director,1,"T1",498026,499620,1594,Visual,498026,499620,1594,"X"
D18_TT_Coded.eaf,D18,Auditory,3,9,2,2,Correct,2,Director,1,"T1",502824,504621,1797,Visual,502824,504621,1797,"X"
D18_TT_Coded.eaf,D18,Auditory,3,9,2,2,Correct,2,Director,1,"T1",502824,504621,1797,Acoustic,503229,504634,1405,"X"
D18_TT_Coded.eaf,D18,Auditory,3,9,2,2,Correct,1,Matcher,1,"T1",507810,508621,811,Visual,507810,508621,811,"X"
D18_TT_Coded.eaf,D18,Auditory,3,10,4,4,Correct,1,Director,1,"T1",507810,508621,811,Visual,507810,508621,811,"X"
D18_TT_Coded.eaf,D18,Auditory,3,9,2,2,Correct,1,Matcher,1,"T1",507810,508621,811,Acoustic,508026,508418,392,"X"
D18_TT_Coded.eaf,D18,Auditory,3,10,4,4,Correct,1,Director,1,"T1",507810,508621,811,Acoustic,508026,508418,392,"X"
D18_TT_Coded.eaf,D18,Auditory,3,11,7,7,Correct,2,Director,1,"T1",515229,517824,2595,Acoustic,515229,517824,2595,"X"
