filename,dyadNumber,condition,game,trial,target,choice,correct,trialStart,trialEnd,trialValue,startOfNextTrial,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D4_IMG_Coded_TT.eaf,D4,Visual,0,0,3,3,Correct,912062,922485,Ga0 Tu0 Ta3 {4 5 *3*} Ch3,927700,2,Director,1,"T1",908600,919200,10600,Acoustic,908600,909600,1000,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,0,3,3,Correct,912062,922485,Ga0 Tu0 Ta3 {4 5 *3*} Ch3,927700,2,Director,1,"T1",908600,919200,10600,Acoustic,917600,918300,700,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,0,3,3,Correct,912062,922485,Ga0 Tu0 Ta3 {4 5 *3*} Ch3,927700,2,Director,1,"T1",908600,919200,10600,Acoustic,918600,919210,610,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,1,8,8,Correct,927700,948951,Ga0 Tu1 Ta8 {5 *8* 3} Ch8,950956,1,Director,1,"T1",929010,930000,990,Acoustic,929010,930000,990,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,2,4,5,Incorrect,950956,972059,Ga0 Tu2 Ta4 {6 *5* 4} Ch5,977101,2,Director,1,"T1",964500,965200,700,Acoustic,964500,965200,700,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,3,7,7,Correct,977101,1016060,Ga0 Tu3 Ta7 {8 *7* 3} Ch7,1019234,1,Director,1,"T1",981700,982410,710,Acoustic,981700,982410,710,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,4,6,2,Incorrect,1019234,1029202,Ga0 Tu4 Ta6 {*2* 6 8} Ch2,1032812,2,Director,1,"T1",1020300,1024200,3900,Acoustic,1020300,1024200,3900,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,5,2,2,Correct,1032812,1106962,Ga0 Tu5 Ta2 {*2* 1 4} Ch2,1109822,1,Director,1,"T1",1095600,1098800,3200,Acoustic,1095600,1098800,3200,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,6,8,1,Incorrect,1109822,1119278,Ga0 Tu6 Ta8 {*1* 8 6} Ch1,1121322,2,Director,1,"T1",1111500,1117400,5900,Acoustic,1111500,1117400,5900,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,7,3,3,Correct,1121322,1133809,Ga0 Tu7 Ta3 {8 *3* 4} Ch3,1136725,1,Director,1,"T1",1123500,1124500,1000,Acoustic,1123500,1124500,1000,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,8,2,2,Correct,1136725,1145972,Ga0 Tu8 Ta2 {5 1 *2*} Ch2,1148088,2,Director,1,"T1",1139110,1144500,5390,Acoustic,1139110,1144500,5390,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,9,6,6,Correct,1148088,1160472,Ga0 Tu9 Ta6 {*6* 7 8} Ch6,1163244,1,Director,1,"T1",1151300,1154000,2700,Acoustic,1151300,1154000,2700,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,10,5,7,Incorrect,1163244,1173427,Ga0 Tu10 Ta5 {*7* 5 6} Ch7,1175144,2,Director,1,"T1",1164400,1166800,2400,Acoustic,1164400,1166800,2400,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,11,4,1,Incorrect,1175144,1191711,Ga0 Tu11 Ta4 {4 7 *1*} Ch1,1193203,1,Director,1,"T1",1180700,1183700,3000,Acoustic,1180700,1183700,3000,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,12,1,7,Incorrect,1193203,1203162,Ga0 Tu12 Ta1 {1 *7* 2} Ch7,1205183,2,Director,1,"T1",1196310,1200600,4290,Acoustic,1196310,1199900,3590,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,12,1,7,Incorrect,1193203,1203162,Ga0 Tu12 Ta1 {1 *7* 2} Ch7,1205183,2,Director,1,"T1",1196310,1200600,4290,Acoustic,1200200,1200600,400,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,13,5,5,Correct,1205183,1221214,Ga0 Tu13 Ta5 {2 3 *5*} Ch5,1222978,1,Director,1,"T1",1209200,1211100,1900,Acoustic,1209200,1211100,1900,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,14,7,7,Correct,1222978,1234890,Ga0 Tu14 Ta7 {*7* 2 3} Ch7,1235950,2,Director,1,"T1",1226900,1230400,3500,Acoustic,1226900,1230400,3500,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,0,15,1,6,Incorrect,1235950,1251213,Ga0 Tu15 Ta1 {*6* 4 1} Ch6,1268729,1,Director,1,"T1",1238720,1241600,2880,Acoustic,1238720,1241600,2880,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,1,1,3,4,Incorrect,1275469,1290428,Ga1 Tu1 Ta3 {8 3 *4*} Ch4,1292559,1,Director,1,"T1",1277800,1278610,810,Acoustic,1277800,1278610,810,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,1,2,7,7,Correct,1292559,1298935,Ga1 Tu2 Ta7 {*7* 2 3} Ch7,1301484,2,Director,1,"T1",1294600,1297400,2800,Acoustic,1294600,1297400,2800,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,1,3,1,1,Correct,1301484,1311059,Ga1 Tu3 Ta1 {6 4 *1*} Ch1,1312463,1,Director,1,"T1",1303810,1306900,3090,Acoustic,1303810,1306900,3090,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,1,4,5,6,Incorrect,1312463,1321798,Ga1 Tu4 Ta5 {7 5 *6*} Ch6,1323476,2,Director,1,"T1",1317010,1317900,890,Acoustic,1317010,1317900,890,"X"
D4_IMG_Coded_TT.eaf,D4,Visual,1,5,4,7,Incorrect,1323476,1334795,Ga1 Tu5 Ta4 {4 *7* 1} Ch7,1338878,1,Director,1,"T1",1325610,1328800,3190,Acoustic,1325610,1328800,3190,"X"
