filename,dyadNumber,condition,game,trial,target,choice,correct,trialStart,trialEnd,trialValue,startOfNextTrial,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D9_TT_Coded.eaf,D9,Visual,0,0,8,1,Incorrect,59600,74310,Ga0 Tu0 Ta8 {*1* 8 6} Ch1,86156,1,Director,1,"T1",60634,64215,3581,Visual,60634,64215,3581,"X"
D9_TT_Coded.eaf,D9,Visual,0,0,8,1,Incorrect,59600,74310,Ga0 Tu0 Ta8 {*1* 8 6} Ch1,86156,1,Director,1,"T1",60634,64215,3581,Acoustic,61431,64228,2797,"X"
D9_TT_Coded.eaf,D9,Visual,0,1,6,7,Incorrect,86156,115284,Ga0 Tu1 Ta6 {6 *7* 8} Ch7,116600,2,Director,1,"T1",100621,107026,6405,Visual,100621,107026,6405,"X"
D9_TT_Coded.eaf,D9,Visual,0,2,5,6,Incorrect,116600,127806,Ga0 Tu2 Ta5 {7 5 *6*} Ch6,130011,1,Director,1,"T1",119013,125026,6013,Visual,119013,125026,6013,"X"
D9_TT_Coded.eaf,D9,Visual,0,3,4,4,Correct,130011,181289,Ga0 Tu3 Ta4 {*4* 7 1} Ch4,183348,2,Director,1,"T1",160823,169621,8798,Visual,160823,169621,8798,"X"
D9_TT_Coded.eaf,D9,Visual,0,3,4,4,Correct,130011,181289,Ga0 Tu3 Ta4 {*4* 7 1} Ch4,183348,1,Matcher,1,"T2",176634,178620,1986,Visual,176634,178620,1986,"X"
D9_TT_Coded.eaf,D9,Visual,0,4,2,2,Correct,183348,202276,Ga0 Tu4 Ta2 {5 1 *2*} Ch2,205264,1,Director,1,"T1",184026,194418,10392,Visual,184026,194418,10392,"X"
D9_TT_Coded.eaf,D9,Visual,0,5,3,3,Correct,205264,226982,Ga0 Tu5 Ta3 {8 *3* 4} Ch3,231133,2,Director,1,"T1",216823,223229,6406,Visual,216823,223229,6406,"X"
D9_TT_Coded.eaf,D9,Visual,0,6,6,2,Incorrect,231133,244092,Ga0 Tu6 Ta6 {*2* 6 8} Ch2,244831,1,Director,1,"T1",234405,242810,8405,Visual,234405,242810,8405,"X"
D9_TT_Coded.eaf,D9,Visual,0,7,2,2,Correct,244831,272790,Ga0 Tu7 Ta2 {*2* 1 4} Ch2,255259,2,Director,1,"T1",264405,269432,5027,Visual,264405,269432,5027,"X"
D9_TT_Coded.eaf,D9,Visual,0,8,4,4,Correct,255259,290043,Ga0 Tu8 Ta4 {6 5 *4*} Ch4,291844,2,Matcher,1,"T1",264405,269432,5027,Visual,264405,269432,5027,"X"
D9_TT_Coded.eaf,D9,Visual,0,8,4,4,Correct,255259,290043,Ga0 Tu8 Ta4 {6 5 *4*} Ch4,291844,1,Director,1,"T1",279013,283405,4392,Visual,279013,283405,4392,"X"
D9_TT_Coded.eaf,D9,Visual,0,9,7,7,Correct,291844,329426,Ga0 Tu9 Ta7 {8 *7* 3} Ch7,353554,2,Director,1,"T1",299823,307823,8000,Visual,299823,307823,8000,"X"
D9_TT_Coded.eaf,D9,Visual,0,9,7,7,Correct,291844,329426,Ga0 Tu9 Ta7 {8 *7* 3} Ch7,353554,1,Matcher,1,"T2",311621,319824,8203,Visual,311621,319824,8203,"X"
D9_TT_Coded.eaf,D9,Visual,0,9,7,7,Correct,291844,329426,Ga0 Tu9 Ta7 {8 *7* 3} Ch7,353554,1,Matcher,1,"T2",311621,319824,8203,Acoustic,313026,315229,2203,"X"
D9_TT_Coded.eaf,D9,Visual,0,9,7,7,Correct,291844,329426,Ga0 Tu9 Ta7 {8 *7* 3} Ch7,353554,1,Matcher,1,"T2",311621,319824,8203,Acoustic,316025,316823,798,"X"
D9_TT_Coded.eaf,D9,Visual,0,9,7,7,Correct,291844,329426,Ga0 Tu9 Ta7 {8 *7* 3} Ch7,353554,1,Matcher,1,"T2",311621,319824,8203,Acoustic,317241,319836,2595,"X"
D9_TT_Coded.eaf,D9,Visual,0,9,7,7,Correct,291844,329426,Ga0 Tu9 Ta7 {8 *7* 3} Ch7,353554,2,Director,2,"T3",321026,321068,42,Visual,321026,326810,5784,"X"
D9_TT_Coded.eaf,D9,Visual,0,9,7,7,Correct,291844,329426,Ga0 Tu9 Ta7 {8 *7* 3} Ch7,353554,2,Director,3,"T3",321068,344868,23800,Visual,321026,326810,5784,"X"
D9_TT_Coded.eaf,D9,Visual,0,9,7,7,Correct,291844,329426,Ga0 Tu9 Ta7 {8 *7* 3} Ch7,353554,2,Director,3,"T3",321068,344868,23800,Visual,335823,344823,9000,"X"
