game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,36171,,NextRound,6/3/2016, 1:02:37 PM
0,0,7,0_7_5,58402,1,7,6/3/2016, 1:02:59 PM
0,1,,_,74514,,NextRound,6/3/2016, 1:03:15 PM
0,2,4,6_4_5,96185,1,4,6/3/2016, 1:03:37 PM
0,3,,_,112561,,NextRound,6/3/2016, 1:03:53 PM
0,4,1,4_0_1,140432,2,1,6/3/2016, 1:04:21 PM
0,5,,_,162656,,NextRound,6/3/2016, 1:04:43 PM
0,6,5,1_5_7,183567,2,7,6/3/2016, 1:05:04 PM
0,7,,_,212614,,NextRound,6/3/2016, 1:05:33 PM
0,8,3,5_4_3,227254,1,4,6/3/2016, 1:05:48 PM
0,9,,_,254293,,NextRound,6/3/2016, 1:06:15 PM
0,10,2,3_4_2,282605,1,4,6/3/2016, 1:06:43 PM
0,11,,_,304116,,NextRound,6/3/2016, 1:07:05 PM
0,12,0,0_6_1,309740,0,0,6/3/2016, 1:07:10 PM
0,13,,_,326091,,NextRound,6/3/2016, 1:07:27 PM
0,14,6,6_1_2,347963,2,2,6/3/2016, 1:07:48 PM
0,15,,_,363019,,NextRound,6/3/2016, 1:08:03 PM
1,-1,,_,369098,,NextRound,6/3/2016, 1:08:10 PM
1,0,2,3_4_2,383994,2,2,6/3/2016, 1:08:24 PM
1,1,,_,394802,,NextRound,6/3/2016, 1:08:35 PM
1,2,3,5_4_3,405009,2,3,6/3/2016, 1:08:45 PM
1,3,,_,426305,,NextRound,6/3/2016, 1:09:07 PM
1,4,5,1_5_7,455376,1,5,6/3/2016, 1:09:36 PM
1,5,,_,472824,,NextRound,6/3/2016, 1:09:53 PM
1,6,7,0_7_5,485071,1,7,6/3/2016, 1:10:06 PM
1,7,,_,500416,,NextRound,6/3/2016, 1:10:21 PM
1,8,1,4_0_1,525934,2,1,6/3/2016, 1:10:46 PM
1,9,,_,553157,,NextRound,6/3/2016, 1:11:14 PM
1,10,4,6_4_5,566405,1,4,6/3/2016, 1:11:27 PM
1,11,,_,576029,,NextRound,6/3/2016, 1:11:36 PM
1,12,0,0_6_1,582989,0,0,6/3/2016, 1:11:43 PM
1,13,,_,597932,,NextRound,6/3/2016, 1:11:58 PM
1,14,6,6_1_2,609477,0,6,6/3/2016, 1:12:10 PM
1,15,,_,620036,,NextRound,6/3/2016, 1:12:20 PM
2,-1,,_,624772,,NextRound,6/3/2016, 1:12:25 PM
2,0,1,4_0_1,647875,2,1,6/3/2016, 1:12:48 PM
2,1,,_,659123,,NextRound,6/3/2016, 1:13:00 PM
2,2,6,6_1_2,674666,0,6,6/3/2016, 1:13:15 PM
2,3,,_,684570,,NextRound,6/3/2016, 1:13:25 PM
2,4,4,6_4_5,692074,1,4,6/3/2016, 1:13:33 PM
2,5,,_,700554,,NextRound,6/3/2016, 1:13:41 PM
2,6,2,3_4_2,707505,2,2,6/3/2016, 1:13:48 PM
2,7,,_,717729,,NextRound,6/3/2016, 1:13:58 PM
2,8,5,1_5_7,739825,1,5,6/3/2016, 1:14:20 PM
2,9,,_,752792,,NextRound,6/3/2016, 1:14:33 PM
2,10,3,5_4_3,763536,2,3,6/3/2016, 1:14:44 PM
2,11,,_,781232,,NextRound,6/3/2016, 1:15:02 PM
2,12,7,0_7_5,788304,1,7,6/3/2016, 1:15:09 PM
2,13,,_,801319,,NextRound,6/3/2016, 1:15:22 PM
2,14,0,0_6_1,813703,0,0,6/3/2016, 1:15:34 PM
2,15,,_,825887,,NextRound,6/3/2016, 1:15:46 PM
3,-1,,_,830038,,NextRound,6/3/2016, 1:15:50 PM
3,0,6,6_1_2,850118,0,6,6/3/2016, 1:16:11 PM
3,1,,_,857846,,NextRound,6/3/2016, 1:16:18 PM
3,2,2,3_4_2,867037,2,2,6/3/2016, 1:16:27 PM
3,3,,_,875638,,NextRound,6/3/2016, 1:16:36 PM
3,4,4,6_4_5,887933,1,4,6/3/2016, 1:16:48 PM
3,5,,_,895677,,NextRound,6/3/2016, 1:16:56 PM
3,6,5,1_5_7,917900,1,5,6/3/2016, 1:17:18 PM
3,7,,_,931588,,NextRound,6/3/2016, 1:17:32 PM
3,8,0,0_6_1,977787,0,0,6/3/2016, 1:18:18 PM
3,9,,_,987923,,NextRound,6/3/2016, 1:18:28 PM
3,10,1,4_0_1,997538,2,1,6/3/2016, 1:18:38 PM
3,11,,_,1007698,,NextRound,6/3/2016, 1:18:48 PM
3,12,7,0_7_5,1019362,1,7,6/3/2016, 1:19:00 PM
3,13,,_,1029081,,NextRound,6/3/2016, 1:19:10 PM
3,14,3,5_4_3,1036896,2,3,6/3/2016, 1:19:17 PM
3,15,,_,1049816,,NextRound,6/3/2016, 1:19:30 PM
