game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,38600,,NextRound,5/6/2016, 10:46:50 AM
0,0,,_,148707,,NextRound,5/6/2016, 10:48:40 AM
0,1,0,5_3_0,161107,2,0,5/6/2016, 10:48:53 AM
0,2,,_,179210,,NextRound,5/6/2016, 10:49:11 AM
0,3,7,4_7_2,205329,1,7,5/6/2016, 10:49:37 AM
0,4,,_,223352,,NextRound,5/6/2016, 10:49:55 AM
0,5,3,3_6_0,235351,1,6,5/6/2016, 10:50:07 AM
0,6,,_,249975,,NextRound,5/6/2016, 10:50:21 AM
0,7,1,1_0_3,261383,0,1,5/6/2016, 10:50:33 AM
0,8,,_,274198,,NextRound,5/6/2016, 10:50:46 AM
0,9,4,1_2_4,288406,2,4,5/6/2016, 10:51:00 AM
0,10,,_,298317,,NextRound,5/6/2016, 10:51:10 AM
0,11,2,7_2_3,304405,1,2,5/6/2016, 10:51:16 AM
0,12,,_,316812,,NextRound,5/6/2016, 10:51:28 AM
0,13,5,5_6_7,325252,0,5,5/6/2016, 10:51:37 AM
0,14,,_,334612,,NextRound,5/6/2016, 10:51:46 AM
0,15,6,7_6_2,366427,1,6,5/6/2016, 10:52:18 AM
1,-1,,_,373234,,NextRound,5/6/2016, 10:52:25 AM
1,0,,_,383866,,NextRound,5/6/2016, 10:52:35 AM
1,1,5,5_6_7,392777,0,5,5/6/2016, 10:52:44 AM
1,2,,_,404313,,NextRound,5/6/2016, 10:52:56 AM
1,3,3,3_6_0,415984,0,3,5/6/2016, 10:53:07 AM
1,4,,_,424376,,NextRound,5/6/2016, 10:53:16 AM
1,5,2,7_2_3,431232,1,2,5/6/2016, 10:53:23 AM
1,6,,_,439704,,NextRound,5/6/2016, 10:53:31 AM
1,7,1,1_0_3,448383,0,1,5/6/2016, 10:53:40 AM
1,8,,_,455768,,NextRound,5/6/2016, 10:53:47 AM
1,9,6,7_6_2,465607,0,7,5/6/2016, 10:53:57 AM
1,10,,_,474823,,NextRound,5/6/2016, 10:54:06 AM
1,11,7,4_7_2,503925,0,4,5/6/2016, 10:54:35 AM
1,12,,_,514581,,NextRound,5/6/2016, 10:54:46 AM
1,13,4,1_2_4,524844,2,4,5/6/2016, 10:54:56 AM
1,14,,_,534476,,NextRound,5/6/2016, 10:55:06 AM
1,15,0,5_3_0,542036,2,0,5/6/2016, 10:55:13 AM
2,-1,,_,546347,,NextRound,5/6/2016, 10:55:18 AM
2,0,,_,555147,,NextRound,5/6/2016, 10:55:27 AM
2,1,7,4_7_2,568099,0,4,5/6/2016, 10:55:40 AM
2,2,,_,576827,,NextRound,5/6/2016, 10:55:48 AM
2,3,6,7_6_2,608145,1,6,5/6/2016, 10:56:20 AM
2,4,,_,617097,,NextRound,5/6/2016, 10:56:29 AM
2,5,1,1_0_3,636400,2,3,5/6/2016, 10:56:48 AM
2,6,,_,648055,,NextRound,5/6/2016, 10:56:59 AM
2,7,2,7_2_3,654736,1,2,5/6/2016, 10:57:06 AM
2,8,,_,661095,,NextRound,5/6/2016, 10:57:13 AM
2,9,5,5_6_7,668607,0,5,5/6/2016, 10:57:20 AM
2,10,,_,682855,,NextRound,5/6/2016, 10:57:34 AM
2,11,3,3_6_0,691390,0,3,5/6/2016, 10:57:43 AM
2,12,,_,698142,,NextRound,5/6/2016, 10:57:50 AM
2,13,4,1_2_4,709221,2,4,5/6/2016, 10:58:01 AM
2,14,,_,717189,,NextRound,5/6/2016, 10:58:09 AM
2,15,0,5_3_0,723789,2,0,5/6/2016, 10:58:15 AM
3,-1,,_,727108,,NextRound,5/6/2016, 10:58:19 AM
3,0,,_,737005,,NextRound,5/6/2016, 10:58:28 AM
3,1,2,7_2_3,742500,1,2,5/6/2016, 10:58:34 AM
3,2,,_,751547,,NextRound,5/6/2016, 10:58:43 AM
3,3,0,5_3_0,755635,2,0,5/6/2016, 10:58:47 AM
3,4,,_,766875,,NextRound,5/6/2016, 10:58:58 AM
3,5,3,3_6_0,774691,0,3,5/6/2016, 10:59:06 AM
3,6,,_,781018,,NextRound,5/6/2016, 10:59:12 AM
3,7,7,4_7_2,792202,1,7,5/6/2016, 10:59:24 AM
3,8,,_,797986,,NextRound,5/6/2016, 10:59:29 AM
3,9,1,1_0_3,804953,0,1,5/6/2016, 10:59:36 AM
3,10,,_,811170,,NextRound,5/6/2016, 10:59:43 AM
3,11,6,7_6_2,821585,1,6,5/6/2016, 10:59:53 AM
3,12,,_,829896,,NextRound,5/6/2016, 11:00:01 AM
3,13,5,5_6_7,835640,0,5,5/6/2016, 11:00:07 AM
3,14,,_,841233,,NextRound,5/6/2016, 11:00:13 AM
3,15,4,1_2_4,849872,2,4,5/6/2016, 11:00:21 AM
