game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,23384,,NextRound,5/9/2016, 3:54:09 PM
0,0,2,3_4_2,44255,1,4,5/9/2016, 3:54:30 PM
0,1,,_,46079,,NextRound,5/9/2016, 3:54:32 PM
0,2,3,5_4_3,80894,2,3,5/9/2016, 3:55:07 PM
0,3,,_,114758,,NextRound,5/9/2016, 3:55:41 PM
0,4,5,1_5_7,134949,1,5,5/9/2016, 3:56:01 PM
0,5,,_,140404,,NextRound,5/9/2016, 3:56:06 PM
0,6,7,0_7_5,181235,1,7,5/9/2016, 3:56:47 PM
0,7,,_,189027,,NextRound,5/9/2016, 3:56:55 PM
0,8,1,4_0_1,223146,2,1,5/9/2016, 3:57:29 PM
0,9,,_,231970,,NextRound,5/9/2016, 3:57:38 PM
0,10,4,6_4_5,282994,1,4,5/9/2016, 3:58:29 PM
0,11,,_,287625,,NextRound,5/9/2016, 3:58:34 PM
0,12,0,0_6_1,306001,0,0,5/9/2016, 3:58:52 PM
0,13,,_,325448,,NextRound,5/9/2016, 3:59:11 PM
0,14,6,6_1_2,338111,0,6,5/9/2016, 3:59:24 PM
0,15,,_,346487,,NextRound,5/9/2016, 3:59:32 PM
1,-1,,_,369615,,NextRound,5/9/2016, 3:59:56 PM
1,0,1,4_0_1,381830,2,1,5/9/2016, 4:00:08 PM
1,1,,_,399726,,NextRound,5/9/2016, 4:00:26 PM
1,2,6,6_1_2,411758,0,6,5/9/2016, 4:00:38 PM
1,3,,_,422365,,NextRound,5/9/2016, 4:00:48 PM
1,4,4,6_4_5,442230,2,5,5/9/2016, 4:01:08 PM
1,5,,_,454181,,NextRound,5/9/2016, 4:01:20 PM
1,6,2,3_4_2,469556,2,2,5/9/2016, 4:01:35 PM
1,7,,_,490204,,NextRound,5/9/2016, 4:01:56 PM
1,8,5,1_5_7,501251,1,5,5/9/2016, 4:02:07 PM
1,9,,_,508267,,NextRound,5/9/2016, 4:02:14 PM
1,10,3,5_4_3,520019,2,3,5/9/2016, 4:02:26 PM
1,11,,_,549539,,NextRound,5/9/2016, 4:02:55 PM
1,12,7,0_7_5,573074,1,7,5/9/2016, 4:03:19 PM
1,13,,_,595777,,NextRound,5/9/2016, 4:03:42 PM
1,14,0,0_6_1,604433,0,0,5/9/2016, 4:03:50 PM
1,15,,_,619984,,NextRound,5/9/2016, 4:04:06 PM
2,-1,,_,624264,,NextRound,5/9/2016, 4:04:10 PM
2,0,6,6_1_2,636736,0,6,5/9/2016, 4:04:23 PM
2,1,,_,649887,,NextRound,5/9/2016, 4:04:36 PM
2,2,2,3_4_2,655135,2,2,5/9/2016, 4:04:41 PM
2,3,,_,667184,,NextRound,5/9/2016, 4:04:53 PM
2,4,4,6_4_5,681711,1,4,5/9/2016, 4:05:08 PM
2,5,,_,694287,,NextRound,5/9/2016, 4:05:20 PM
2,6,5,1_5_7,701958,1,5,5/9/2016, 4:05:28 PM
2,7,,_,709590,,NextRound,5/9/2016, 4:05:35 PM
2,8,0,0_6_1,718646,0,0,5/9/2016, 4:05:45 PM
2,9,,_,734765,,NextRound,5/9/2016, 4:06:01 PM
2,10,1,4_0_1,739701,2,1,5/9/2016, 4:06:06 PM
2,11,,_,752086,,NextRound,5/9/2016, 4:06:18 PM
2,12,7,0_7_5,769685,1,7,5/9/2016, 4:06:36 PM
2,13,,_,778292,,NextRound,5/9/2016, 4:06:44 PM
2,14,3,5_4_3,783004,2,3,5/9/2016, 4:06:49 PM
2,15,,_,804508,,NextRound,5/9/2016, 4:07:10 PM
3,-1,,_,807644,,NextRound,5/9/2016, 4:07:14 PM
3,0,7,0_7_5,823003,0,0,5/9/2016, 4:07:29 PM
3,1,,_,833603,,NextRound,5/9/2016, 4:07:39 PM
3,2,4,6_4_5,848411,1,4,5/9/2016, 4:07:54 PM
3,3,,_,858971,,NextRound,5/9/2016, 4:08:05 PM
3,4,1,4_0_1,862690,2,1,5/9/2016, 4:08:09 PM
3,5,,_,874570,,NextRound,5/9/2016, 4:08:20 PM
3,6,5,1_5_7,880018,1,5,5/9/2016, 4:08:26 PM
3,7,,_,885594,,NextRound,5/9/2016, 4:08:31 PM
3,8,3,5_4_3,891338,2,3,5/9/2016, 4:08:37 PM
3,9,,_,907537,,NextRound,5/9/2016, 4:08:53 PM
3,10,2,3_4_2,910889,2,2,5/9/2016, 4:08:57 PM
3,11,,_,924496,,NextRound,5/9/2016, 4:09:10 PM
3,12,0,0_6_1,930264,0,0,5/9/2016, 4:09:16 PM
3,13,,_,943609,,NextRound,5/9/2016, 4:09:30 PM
3,14,6,6_1_2,955472,0,6,5/9/2016, 4:09:41 PM
3,15,,_,968575,,NextRound,5/9/2016, 4:09:54 PM
