game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,12307,,NextRound,5/18/2016, 3:03:30 PM
0,0,1,4_0_1,54097,2,1,5/18/2016, 3:04:12 PM
0,1,,_,86472,,NextRound,5/18/2016, 3:04:44 PM
0,2,6,6_1_2,99087,0,6,5/18/2016, 3:04:57 PM
0,3,,_,130158,,NextRound,5/18/2016, 3:05:28 PM
0,4,4,6_4_5,162909,1,4,5/18/2016, 3:06:01 PM
0,5,,_,175206,,NextRound,5/18/2016, 3:06:13 PM
0,6,2,3_4_2,180396,2,2,5/18/2016, 3:06:18 PM
0,7,,_,193748,,NextRound,5/18/2016, 3:06:31 PM
0,8,5,1_5_7,215875,1,5,5/18/2016, 3:06:54 PM
0,9,,_,226451,,NextRound,5/18/2016, 3:07:04 PM
0,10,3,5_4_3,242162,2,3,5/18/2016, 3:07:20 PM
0,11,,_,254721,,NextRound,5/18/2016, 3:07:32 PM
0,12,7,0_7_5,270145,1,7,5/18/2016, 3:07:48 PM
0,13,,_,291903,,NextRound,5/18/2016, 3:08:10 PM
0,14,0,0_6_1,307534,0,0,5/18/2016, 3:08:25 PM
0,15,,_,322430,,NextRound,5/18/2016, 3:08:40 PM
1,-1,,_,326590,,NextRound,5/18/2016, 3:08:44 PM
1,0,6,6_1_2,343126,0,6,5/18/2016, 3:09:01 PM
1,1,,_,353701,,NextRound,5/18/2016, 3:09:11 PM
1,2,2,3_4_2,359708,2,2,5/18/2016, 3:09:17 PM
1,3,,_,373052,,NextRound,5/18/2016, 3:09:31 PM
1,4,4,6_4_5,387931,0,6,5/18/2016, 3:09:46 PM
1,5,,_,396635,,NextRound,5/18/2016, 3:09:54 PM
1,6,5,1_5_7,404507,1,5,5/18/2016, 3:10:02 PM
1,7,,_,410091,,NextRound,5/18/2016, 3:10:08 PM
1,8,0,0_6_1,416898,0,0,5/18/2016, 3:10:15 PM
1,9,,_,428730,,NextRound,5/18/2016, 3:10:26 PM
1,10,1,4_0_1,433802,2,1,5/18/2016, 3:10:31 PM
1,11,,_,439049,,NextRound,5/18/2016, 3:10:37 PM
1,12,7,0_7_5,454937,1,7,5/18/2016, 3:10:53 PM
1,13,,_,465608,,NextRound,5/18/2016, 3:11:03 PM
1,14,3,5_4_3,472193,2,3,5/18/2016, 3:11:10 PM
1,15,,_,481944,,NextRound,5/18/2016, 3:11:20 PM
2,-1,,_,485280,,NextRound,5/18/2016, 3:11:23 PM
2,0,7,0_7_5,493735,1,7,5/18/2016, 3:11:31 PM
2,1,,_,501159,,NextRound,5/18/2016, 3:11:39 PM
2,2,4,6_4_5,507559,2,5,5/18/2016, 3:11:45 PM
2,3,,_,512814,,NextRound,5/18/2016, 3:11:50 PM
2,4,1,4_0_1,516423,2,1,5/18/2016, 3:11:54 PM
2,5,,_,521814,,NextRound,5/18/2016, 3:11:59 PM
2,6,5,1_5_7,528519,1,5,5/18/2016, 3:12:06 PM
2,7,,_,533126,,NextRound,5/18/2016, 3:12:11 PM
2,8,3,5_4_3,538374,2,3,5/18/2016, 3:12:16 PM
2,9,,_,547214,,NextRound,5/18/2016, 3:12:25 PM
2,10,2,3_4_2,553245,2,2,5/18/2016, 3:12:31 PM
2,11,,_,561629,,NextRound,5/18/2016, 3:12:39 PM
2,12,0,0_6_1,568853,0,0,5/18/2016, 3:12:47 PM
2,13,,_,578404,,NextRound,5/18/2016, 3:12:56 PM
2,14,6,6_1_2,586036,0,6,5/18/2016, 3:13:04 PM
2,15,,_,594907,,NextRound,5/18/2016, 3:13:13 PM
3,-1,,_,598059,,NextRound,5/18/2016, 3:13:16 PM
3,0,2,3_4_2,602028,2,2,5/18/2016, 3:13:20 PM
3,1,,_,609619,,NextRound,5/18/2016, 3:13:27 PM
3,2,3,5_4_3,613211,2,3,5/18/2016, 3:13:31 PM
3,3,,_,621611,,NextRound,5/18/2016, 3:13:39 PM
3,4,5,1_5_7,627578,1,5,5/18/2016, 3:13:45 PM
3,5,,_,631970,,NextRound,5/18/2016, 3:13:50 PM
3,6,7,0_7_5,652785,1,7,5/18/2016, 3:14:10 PM
3,7,,_,656545,,NextRound,5/18/2016, 3:14:14 PM
3,8,1,4_0_1,662449,2,1,5/18/2016, 3:14:20 PM
3,9,,_,668257,,NextRound,5/18/2016, 3:14:26 PM
3,10,4,6_4_5,682112,2,5,5/18/2016, 3:14:40 PM
3,11,,_,688960,,NextRound,5/18/2016, 3:14:47 PM
3,12,0,0_6_1,696192,0,0,5/18/2016, 3:14:54 PM
3,13,,_,704168,,NextRound,5/18/2016, 3:15:02 PM
3,14,6,6_1_2,710119,0,6,5/18/2016, 3:15:08 PM
3,15,,_,718463,,NextRound,5/18/2016, 3:15:16 PM
