filename,dyadNumber,condition,game,trial,target,choice,correct,trialStart,trialEnd,trialValue,startOfNextTrial,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D9_TT_Coded.eaf,D9,Visual,0,4,2,2,Correct,183348,202276,Ga0 Tu4 Ta2 {5 1 *2*} Ch2,205264,1,Director,1,"T1",184608,194000,9392,Visual,184608,192460,7852,"x"
D9_TT_Coded.eaf,D9,Visual,0,4,2,2,Correct,183348,202276,Ga0 Tu4 Ta2 {5 1 *2*} Ch2,205264,1,Director,1,"T1",184608,194000,9392,Visual,192487,194014,1527,"x"
D9_TT_Coded.eaf,D9,Visual,0,5,3,3,Correct,205264,226982,Ga0 Tu5 Ta3 {8 *3* 4} Ch3,231133,2,Director,1,"T1",218242,223296,5054,Visual,218236,223290,5054,"x"
D9_TT_Coded.eaf,D9,Visual,1,0,3,3,Correct,454320,465657,Ga1 Tu0 Ta3 {4 5 *3*} Ch3,466814,1,Director,1,"T1",458310,462837,4527,Visual,458310,462837,4527,"x"
D9_TT_Coded.eaf,D9,Visual,1,1,8,8,Correct,466814,483037,Ga1 Tu1 Ta8 {5 *8* 3} Ch8,485023,2,Director,1,"T1",472013,477688,5675,Visual,472013,477688,5675,"x"
D9_TT_Coded.eaf,D9,Visual,1,1,8,8,Correct,466814,483037,Ga1 Tu1 Ta8 {5 *8* 3} Ch8,485023,1,Matcher,1,"T2",476878,478824,1946,Visual,476878,478824,1946,"x"
D9_TT_Coded.eaf,D9,Visual,1,1,8,8,Correct,466814,483037,Ga1 Tu1 Ta8 {5 *8* 3} Ch8,485023,2,Director,2,"T3",477872,481304,3432,Visual,477872,481304,3432,"x"
D9_TT_Coded.eaf,D9,Visual,1,2,4,4,Correct,485023,500663,Ga1 Tu2 Ta4 {6 5 *4*} Ch4,501236,1,Director,1,"T1",485957,498549,12592,Visual,485963,488855,2892,"x"
D9_TT_Coded.eaf,D9,Visual,1,2,4,4,Correct,485023,500663,Ga1 Tu2 Ta4 {6 5 *4*} Ch4,501236,1,Director,1,"T1",485957,498549,12592,Visual,494864,498553,3689,"x"
D9_TT_Coded.eaf,D9,Visual,2,3,1,1,Correct,779282,786584,Ga2 Tu3 Ta1 {6 4 *1*} Ch1,787130,2,Director,1,"T1",781728,785039,3311,Visual,781728,785039,3311,"x"
D9_TT_Coded.eaf,D9,Visual,2,4,5,6,Incorrect,787130,794234,Ga2 Tu4 Ta5 {7 5 *6*} Ch6,794808,1,Director,1,"T1",788499,793094,4595,Visual,788499,793094,4595,"x"
D9_TT_Coded.eaf,D9,Visual,2,5,4,4,Correct,794808,801080,Ga2 Tu5 Ta4 {*4* 7 1} Ch4,800857,2,Director,1,"T1",795952,798249,2297,Visual,795952,798249,2297,"x"
D9_TT_Coded.eaf,D9,Visual,2,6,3,3,Correct,800857,807697,Ga2 Tu6 Ta3 {4 5 *3*} Ch3,808944,1,Director,1,"T1",803507,807020,3513,Visual,803507,807020,3513,"x"
