"","label","estimate","conf.low","conf.high","wald.t","model.comparison.p"
"2","Visual modality","+3986",593,8872,2.38973338685639,0.605754746326545
"3","Acoustic modality","+6022",824,14622,2.38633450230721,0.605754746326545
"4","Visual stimuli","+2594",508,5250,2.51832843072211,0.564858318226107
"5","Game","-1144",-1341,-939,-10.2056633649014,2.59070118629982e-95
"6","Game^2","+454",280,633,5.1984478652936,6.64086392983596e-13
"7","Number of turns","+1526",1002,2083,6.08806759950131,8.9664480795612e-111
"8","Inorrect","+2241",789,3959,3.18182206195168,2.56788232197396e-07
"9","Multimodal T1","+562",-244,1463,1.34308767511866,0.227646316407874
"10",NA,"+4138",2727,5752,6.70523149026431,NA
"11","Visual modality:Visual stimuli","-788",-2267,1141,-0.864726307811827,0.000813683219390591
"12","Acoustic modality:Visual stimuli","-3226",-4091,-2113,-4.70437471297493,0.000813683219390591
"13","Visual modality:Game","+296",-47,657,1.683825771221,0.00125029606367063
"14","Acoustic modality:Game","+183",-156,539,1.04513744309244,0.00125029606367063
"15","Visual stimuli:Game","-73",-404,274,-0.421443310557509,0.654165119293367
"16","Visual modality:Game^2","-267",-487,-40,-2.30293190673788,0.044164393099981
"17","Acoustic modality:Game^2","-25",-253,210,-0.213458338410664,0.044164393099981
"18","VisualModality:NumTurns","+216",-400,889,0.668914677970508,0.621999313273117
"19","Vocal Modality:NumTurns","-181",-2247,2761,-0.142979443044082,0.621999313273117
"20","Visual stim:NumTurns","+248",-269,805,0.922449676991078,0.643452757206461
"21","Visual modality:Incorrect","-648",-1937,962,-0.842039120109058,0.0796591569943844
"22","Acoustic modality:Incorrect","-1525",-2673,-80,-2.05639508927455,0.0796591569943844
"23","Visual stimuli:incorrect","+55",-1201,1578,0.0786683005652015,0.605659910772758
"24","VisualStim:MultimodalT1","-506",-1703,957,-0.72282003771208,0.583963758100745
"25","Visual modality:Visual stimuli:Game","+167",-310,678,0.672243254588946,0.437677699378541
"26","Acoustic modality:Visual stimuli:Game","-54",-516,439,-0.222310591078332,0.437677699378541
"27","VisualModality:Visual stim:NumTurns","-466",-1168,318,-1.19052636646679,0.0421636885120488
"28","Visual modality:Visual stimuli:incorrect","-517",-2034,1452,-0.565816478924249,0.596083576797787
"29","Acoustic modality:Visual stimuli:incorrect","+661",-1086,2916,0.684371910501336,0.596083576797787
